apps/app_center/app_center/templates/pages/app_detail.html +302,Fork,
DocType: IOT Application,Fork From,
DocType: IOT Application,Fork Version,
apps/app_center/app_center/templates/pages/app_detail.html +289,Fork this application from,
apps/app_center/app_center/templates/includes/menu/app_side_menu.html +16,Forum,
apps/app_center/app_center/templates/pages/app_list.html +81,Free,
DocType: App Device Supplier,Full Name,
apps/app_center/app_center/templates/pages/app_detail.html +68,Go Master,
DocType: App Developer,Group,
apps/app_center/app_center/templates/includes/menu/app_side_menu.html +17,Help,
DocType: IOT Application Issue,High,
apps/app_center/app_center/templates/pages/app_modify.html +16,Home,
apps/app_center/app_center/templates/pages/app_list.html +154,I agree to the terms and conditions,
apps/app_center/app_center/templates/includes/navbar/app_navbar.html +4,IOT App Store,
DocType: IOT Application,IOT Application,
DocType: IOT Application Comment,IOT Application Comment,
DocType: IOT Application Issue,IOT Application Issue,
DocType: IOT Application IssueReview,IOT Application IssueReview,
DocType: IOT Application Review,IOT Application Review,
DocType: IOT Application ReviewComment,IOT Application ReviewComment,
apps/app_center/app_center/templates/pages/app_store.html +3,IOT Application Store,
DocType: IOT Application Version,IOT Application Version,
DocType: App Center Settings,IOT Center,
DocType: IOT Application,Icon Image,
DocType: IOT Application,Information,
apps/app_center/app_center/templates/pages/app_dashboard.html +258,Installation,
DocType: IOT Application Issue,Invalid,
apps/app_center/app_center/templates/pages/app_issues.js +20,Invalid issue,
apps/app_center/app_center/appmgr.py +344,Issue added!,
apps/app_center/app_center/appmgr.py +369,Issue comment added!,
apps/app_center/app_center/appmgr.py +386,Issue comment not found!,
apps/app_center/app_center/appmgr.py +384,Issue comment removed!,
apps/app_center/app_center/templates/pages/app_detail.html +240,Issue content,
apps/app_center/app_center/templates/pages/app_issues.js +8,Issue fixed,
apps/app_center/app_center/appmgr.py +403,Issue fixed!,
apps/app_center/app_center/templates/pages/app_issue.html +3,Issue for,
apps/app_center/app_center/appmgr.py +355,Issue removed!,
apps/app_center/app_center/templates/pages/app_detail.html +84,Issues,
apps/app_center/app_center/templates/pages/app_issues.html +4,Issues of Your Applications,
DocType: IOT Application,License Type,
apps/app_center/app_center/templates/pages/app_dashboard.html +178,Loading,
apps/app_center/app_center/templates/includes/navbar/app_navbar.html +57,Logout,
apps/app_center/app_center/templates/includes/navbar/app_navbar.html +54,Logs,
DocType: IOT Application Issue,Low,
apps/app_center/app_center/templates/pages/app_detail.html +30,Me,
apps/app_center/app_center/templates/includes/navbar/app_navbar.html +55,Messages,
DocType: IOT Application Issue,Middle,
apps/app_center/app_center/templates/pages/app_issue.html +121,Modified,
apps/app_center/app_center/templates/pages/app_modify.html +96,Modify,
apps/app_center/app_center/templates/pages/app_modify.html +3,Modify Application,
apps/app_center/app_center/templates/pages/app_dashboard.html +31,Most stars,
DocType: IOT Application,Name,
apps/app_center/app_center/templates/pages/app_editor.html +172,No,
DocType: App Developer,Normal,
apps/app_center/app_center/templates/pages/app_editor.html +192,OK,
apps/app_center/app_center/templates/pages/app_editor.html +3,Online Editor ,
DocType: IOT Application,Open,
DocType: IOT Application,Owner,
apps/app_center/app_center/templates/pages/app_editor.html +20,Pack and install to,
apps/app_center/app_center/templates/pages/app_editor.html +107,Pack changes and install to,
DocType: App Developer,Power,
DocType: IOT Application Issue,Priority,
DocType: IOT Application,Private,
apps/app_center/app_center/templates/includes/navbar/app_navbar.html +53,Profile,
DocType: App Device Protocol,Protocol,
apps/app_center/app_center/templates/pages/app_store.js +66,Protocol Filter,
DocType: IOT Application,Published,
apps/app_center/app_center/templates/pages/app_dashboard.html +147,Recently Released,
